date,price,target_date,actual_future_price,p10,p50,p90
2025-12-01,3100.0,,2600.0,2388.1676829934295,2911.0481973240967,3894.2621565800873
2025-12-02,2500.0,,2551.0,1850.8102175682084,2306.0404657425793,3090.1809835841323
2025-12-03,3000.0,,2451.0,2213.367640429629,2717.729459296274,3617.753557528197
2025-12-04,2700.0,,2300.0,1983.223464712753,2517.7746156013795,3173.342906854086
2025-12-05,2500.0,,2500.0,1867.0131687219548,2459.5954120133397,2899.5553388098842
2025-12-06,2200.0,,2351.0,1640.6196954934792,2140.008594275843,2556.714957005799
2025-12-08,2400.0,,2250.0,1752.4877087112673,2319.410373584577,2931.5012078196937
2025-12-10,2600.0,,2100.0,1794.113174409618,2476.5454698672015,3069.9142269817894
2025-12-12,2551.0,,1900.0,1714.219408092033,2382.123025995567,3001.5940715174092
2025-12-13,2451.0,,2000.0,1720.1830800606208,2229.1051433158486,2947.389782479857
2025-12-15,2300.0,,1900.0,1737.590895975034,2288.3672830957157,2690.957779145303
2025-12-16,2500.0,,2200.0,1937.867842251097,2407.378072814888,2924.47228698144
2025-12-17,2351.0,,1999.9999999999998,1751.1479258269455,2226.884836252172,2663.3694076219886
2025-12-18,2250.0,,1950.0,1650.2429860295142,2120.394710548316,2563.677782882502
2025-12-19,2100.0,,1869.9999999999998,1628.039839090916,2060.29308698305,2419.94177034597
2025-12-25,1900.0,,1800.0,1534.6368408741366,2030.1621010904403,2214.6532136924925
2025-12-26,2000.0,,1850.0,1685.275617470765,2159.2269810007147,2346.3761528466885
2025-12-27,1900.0,,1625.0,1619.4112587656382,2099.8081436512994,2241.8590138574095
2025-12-29,2200.0,,1500.0,1840.883097520567,2418.0306530135313,2574.866433726461
2025-12-30,2000.0,,1600.0,1608.157925698711,1957.0059111420342,2294.1669424865718
2025-12-31,1950.0,,1651.0,1636.6621454216959,1980.1519177637697,2267.515560788769
2026-01-01,1870.0,,1500.0,1595.492437375684,1924.818152703865,2155.7850047535944
2026-01-02,1800.0,,1550.0,1542.2414460174857,1869.0732455169643,2079.1641464834656
2026-01-03,1850.0,,1525.0,1588.9778281560132,1911.9135444609726,2108.8498450528955
2026-01-05,1625.0,,1450.0,1357.8055804641895,1611.8173697832642,1842.664155574996
2026-01-06,1500.0,,1550.0000000000002,1277.9279691386632,1542.5549270570043,1753.4137652215377
2026-01-07,1600.0,,1500.0,1402.9192446219454,1644.548418453137,1866.835634781425
2026-01-09,1651.0,,1500.0,1416.3642372570507,1661.0091430598916,1852.095237423283
2026-01-10,1500.0,,1325.0,1202.9934268554048,1420.6812243475647,1653.194122900508
2026-01-12,1550.0,,1351.0,1284.0999111070869,1536.1008160454182,1726.5655783299972
2026-01-13,1525.0,,1280.0,1228.2336128268967,1443.0574389315739,1749.9862271768511
2026-01-16,1450.0,,1200.0,1205.1115545094058,1425.1403667278369,1708.6685392581471
2026-01-20,1550.0,,1100.0,1259.2302851805127,1460.4931926011886,1824.1153984101195
2026-01-21,1500.0,,1150.0,1219.3223360833897,1432.074694569686,1782.4721759967547
2026-01-22,1500.0,,1140.0,1217.1537850243474,1426.4615517987727,1772.1935887796367
2026-01-27,1325.0,,1151.0,1054.371868942373,1263.4149120423301,1482.5033127120562
2026-01-28,1351.0,,1100.0,1078.7201700454832,1286.5273560045055,1566.8915993823387
2026-01-29,1280.0,,1120.0,1022.1037396983756,1216.6895620166079,1565.7591070734097
2026-01-30,1200.0,,1170.0,961.6143859397138,1157.0822282566303,1508.7819297998117
2026-01-31,1100.0,,1250.0,888.4442463556916,1093.4845365636754,1396.2659868267547
2026-02-02,1150.0,,1259.9999999999998,864.890272271231,1132.656549367339,1394.3263697171844
2026-02-03,1140.0,,1251.0,855.6313873708218,1103.6532118965386,1347.0122483348068
2026-02-04,1151.0,,1240.0,847.4152783082582,1138.8170338574032,1431.2796863513217
2026-02-05,1100.0,,1200.0,815.3434595657762,1101.791271607857,1371.8803875041929
2026-02-06,1120.0,,1170.0,820.1227089813679,1126.009111665289,1396.6579120509339
2026-02-07,1170.0,,1150.0,836.2389799144026,1185.1314458387124,1453.1828133073766
2026-02-09,1250.0,,1100.0,831.9354651536764,1209.8258287409728,1465.2149587693464
2026-02-10,1260.0,,1151.0,899.0618036982067,1249.589457963094,1609.8283238350025
2026-02-11,1251.0,,1100.0,888.5086923150934,1240.4247096248234,1711.0153897110617
2026-02-12,1240.0,,1100.0,948.5753061866023,1225.9654099021695,1712.4419363547795
2026-02-13,1200.0,,1000.0,848.0748797906683,1192.533105748967,1674.3999280717705
2026-02-16,1170.0,,975.0,849.34040970935,1150.7645684383908,1618.0050070605225
2026-02-17,1150.0,,1075.0,874.5751982284531,1138.0700690584333,1434.8249669161632
2026-02-19,1100.0,,1000.0,827.4244135261343,1076.0030502285435,1461.7951662873222
2026-02-20,1151.0,,875.0,875.3546334894886,1119.2387803097274,1509.8974175473236
2026-02-21,1100.0,,975.0,814.2173731184718,1073.1386650318534,1418.1125648920656
2026-02-23,1100.0,,960.0,811.9713613891109,1068.3631823110127,1335.4934494999272
2026-02-24,1000.0,,925.0,728.3208808450347,973.769207859609,1218.0726814683157
2026-02-25,975.0,,900.0,730.1715866048886,942.8649077956078,1210.2360067387765
2026-02-26,1075.0,,910.0,796.6352439285911,1042.4084957702125,1326.9912248317203
2026-02-27,1000.0,,920.0,732.7838887311784,977.6059484527331,1212.6605790555616
2026-02-28,875.0,,925.0,615.1960907054981,857.8152731279888,1085.3276045492446
2026-03-05,975.0,,950.0,755.9861608422386,966.8231658588164,1201.3054066795896
2026-03-06,960.0,,940.0,742.2879167300594,971.5547922041611,1160.7599947250633
2026-03-07,925.0,,900.0,724.2822062658103,892.3471796967166,1120.3623161682083
2026-03-09,900.0,,900.0,717.2856117878208,896.2307397750618,1092.6554795784698
2026-03-10,910.0,,900.0,725.5437776568114,933.498634874662,1123.0961368576409
2026-03-11,920.0,,890.0,730.1995655131805,947.4618530642216,1137.6900549003296
2026-03-12,925.0,,900.0,727.8752970259906,947.2333383394755,1117.5215306026223
